tmnode_id,embarcadero_cong,pacheights_cong,stanford_cong
74,955.518981934,4500.0,4500.0
75,3512.51000977,4500.0,1296.29296875
76,2465.88305664,4500.0,2291.6809082
77,3246.78491211,4500.0,1831.24401855
78,1528.37304688,4500.0,4500.0
79,3286.28710938,4500.0,1870.74597168
80,3249.1940918,4500.0,1833.6529541
81,4131.56494141,4500.0,4500.0
82,4086.10595703,4500.0,4500.0
83,3507.17602539,4500.0,1290.95898438
84,3552.02709961,4500.0,1393.19995117
85,2244.06298828,4500.0,4500.0
86,3354.20288086,4500.0,1137.98596191
87,3479.96899414,4500.0,1263.75195312
88,3277.15795898,4500.0,1052.04699707
89,3299.78198242,4500.0,1884.2409668
90,3299.10400391,4500.0,1887.77600098
91,3301.10107422,4500.0,1887.48596191
92,3704.71801758,4500.0,4500.0
93,3381.40087891,4500.0,1165.18395996
94,2774.29199219,4500.0,1886.19799805
95,3039.56689453,4500.0,771.947021484
96,3035.73901367,4500.0,768.119018555
97,3356.2109375,4500.0,1982.72399902
98,525.606018066,380.665985107,4500.0
99,831.250976562,4500.0,4500.0
100,1667.34997559,4500.0,4500.0
101,3358.48803711,4500.0,1985.00097656
102,4500.0,4500.0,4500.0
103,4500.0,4500.0,4500.0
104,3535.14794922,4500.0,1959.3380127
105,4500.0,4500.0,4500.0
106,4483.16210938,4500.0,2266.94506836
107,3352.30297852,4500.0,1936.76196289
108,4500.0,4500.0,3593.97998047
109,4500.0,4500.0,4500.0
110,2350.26904297,4500.0,4500.0
111,3031.64990234,4500.0,815.432983398
112,442.523986816,4500.0,4500.0
113,449.529998779,4500.0,4500.0
114,3569.82495117,4500.0,1410.99804688
115,3364.05395508,4500.0,1147.83703613
116,4500.0,4500.0,4500.0
117,4500.0,4500.0,4500.0
118,3228.00097656,4500.0,1069.1739502
119,3430.99194336,4500.0,1980.85705566
120,1582.36401367,4500.0,1341.36096191
121,3209.36791992,4500.0,1050.54101562
122,2451.98291016,4500.0,4500.0
123,3760.73193359,4500.0,1544.51501465
124,2590.95605469,4500.0,4500.0
125,2448.72094727,4500.0,4500.0
126,2491.97900391,4500.0,4500.0
127,3285.67504883,4500.0,1912.18798828
128,4500.0,4500.0,2668.88891602
129,801.038024902,4500.0,4500.0
130,2906.46191406,4500.0,1380.93603516
131,4022.02807617,4500.0,1805.81103516
132,3681.58105469,4500.0,1465.36401367
133,4500.0,4500.0,4500.0
134,3462.28198242,4500.0,1246.06494141
135,2383.26708984,4500.0,2363.49902344
136,2002.25402832,4500.0,4500.0
137,2982.73901367,4500.0,766.521972656
138,2097.53393555,4500.0,4500.0
