tmnode_id_cong,embarcadero_cong,pacheights_cong,stanford_cong
98,515.030029297,4500.0,4500.0
99,746.815979004,4500.0,4500.0
100,1529.52600098,4500.0,4500.0
101,3311.67407227,4500.0,2056.02587891
102,4500.0,4500.0,4500.0
103,4500.0,4500.0,4500.0
104,3456.34594727,4500.0,1935.00500488
105,4500.0,4500.0,4500.0
106,4500.0,4500.0,2264.11694336
107,3269.56298828,4500.0,1986.53198242
108,4500.0,4500.0,3591.62402344
109,4500.0,4422.60986328,4500.0
110,2582.39794922,4500.0,4500.0
111,3052.29003906,4500.0,809.333984375
112,435.45300293,4500.0,4500.0
113,442.691009521,4500.0,4500.0
114,3763.22290039,4500.0,1388.48706055
115,3386.21289062,4500.0,1143.25695801
116,4500.0,4500.0,4500.0
117,4500.0,4500.0,4500.0
118,3460.98291016,4500.0,1073.09594727
119,3352.97802734,4500.0,1955.63195801
120,1689.94299316,4500.0,1338.16503906
121,3442.35400391,4500.0,1054.46704102
122,2987.72192383,4500.0,4500.0
123,3784.94995117,4500.0,1541.99401855
124,2805.7409668,4500.0,4500.0
125,2732.32299805,4500.0,4500.0
126,2772.85888672,4500.0,4500.0
127,3264.64990234,4500.0,1982.95703125
128,4500.0,4500.0,2665.99707031
129,797.348999023,4500.0,4500.0
130,3020.4609375,4500.0,1403.04101562
131,4048.2409668,4500.0,1805.28503418
132,3705.79907227,4500.0,1462.84301758
133,1781.30700684,1640.89196777,4500.0
134,3486.53588867,4500.0,1243.57995605
135,2191.99609375,4500.0,4500.0
136,2023.85705566,4500.0,4500.0
137,3003.33496094,4500.0,760.37902832
138,2124.61303711,4500.0,4500.0
139,3938.86694336,4500.0,1695.91101074
140,3502.98901367,4500.0,4500.0
141,3573.17504883,4500.0,1600.30200195
142,3388.08789062,4500.0,1145.13195801
143,3384.9909668,4500.0,1142.03503418
144,2054.04296875,4500.0,1125.51904297
145,3261.81591797,4500.0,1018.85998535
146,3417.32788086,4500.0,1174.37194824
147,3377.07592773,4500.0,1134.11999512
148,3167.89111328,4500.0,1884.85998535
149,433.174987793,4500.0,4500.0
150,791.231018066,4500.0,4500.0
151,1514.35705566,4500.0,4500.0
152,4500.0,4500.0,4500.0
153,4500.0,4500.0,4500.0
154,4500.0,4500.0,4500.0
155,521.49798584,4500.0,4500.0
156,3723.35693359,4500.0,4500.0
157,3807.84008789,4500.0,1419.95300293
158,3489.44506836,4500.0,2133.74389648
159,2127.78491211,4500.0,4500.0
160,2255.26708984,4500.0,591.106018066
161,2579.24291992,4500.0,4500.0
162,2686.48803711,4500.0,519.562988281
163,898.064025879,4500.0,4500.0
164,4500.0,4500.0,4500.0
165,3601.63793945,4500.0,1357.27697754
166,3830.79589844,4500.0,1495.76293945
167,1761.24304199,4500.0,1238.39294434
168,3801.73999023,4500.0,1502.82995605
